variant,size,n,mean_Melem_s,sd,se,ci95
baseline,1,1,14.691,0.0,0.0,0.0
baseline,2,1,14.126,0.0,0.0,0.0
baseline,3,1,14.01,0.0,0.0,0.0
baseline,4,1,13.678,0.0,0.0,0.0
baseline,5,1,13.341,0.0,0.0,0.0
baseline,6,1,12.837,0.0,0.0,0.0
baseline,7,1,12.349,0.0,0.0,0.0
baseline,8,1,11.631,0.0,0.0,0.0
baseline,16,1,10.685,0.0,0.0,0.0
hybrid,1,1,14.712,0.0,0.0,0.0
hybrid,2,1,14.566,0.0,0.0,0.0
hybrid,3,1,14.211,0.0,0.0,0.0
hybrid,4,1,13.681,0.0,0.0,0.0
hybrid,5,1,13.29,0.0,0.0,0.0
hybrid,6,1,11.887,0.0,0.0,0.0
hybrid,7,1,12.408,0.0,0.0,0.0
hybrid,8,1,11.714,0.0,0.0,0.0
hybrid,16,1,10.451,0.0,0.0,0.0
rwlock,1,1,15.356,0.0,0.0,0.0
rwlock,2,1,15.296,0.0,0.0,0.0
rwlock,3,1,15.07,0.0,0.0,0.0
rwlock,4,1,13.789,0.0,0.0,0.0
rwlock,5,1,14.129,0.0,0.0,0.0
rwlock,6,1,13.541,0.0,0.0,0.0
rwlock,7,1,13.064,0.0,0.0,0.0
rwlock,8,1,12.699,0.0,0.0,0.0
rwlock,16,1,11.58,0.0,0.0,0.0
rwlock_extended,1,1,14.856,0.0,0.0,0.0
rwlock_extended,2,1,14.843,0.0,0.0,0.0
rwlock_extended,3,1,14.418,0.0,0.0,0.0
rwlock_extended,4,1,13.951,0.0,0.0,0.0
rwlock_extended,5,1,13.588,0.0,0.0,0.0
rwlock_extended,6,1,11.682,0.0,0.0,0.0
rwlock_extended,7,1,12.636,0.0,0.0,0.0
rwlock_extended,8,1,12.037,0.0,0.0,0.0
rwlock_extended,16,1,10.712,0.0,0.0,0.0
tuned,1,1,13.908,0.0,0.0,0.0
tuned,2,1,14.758,0.0,0.0,0.0
tuned,3,1,14.165,0.0,0.0,0.0
tuned,4,1,14.129,0.0,0.0,0.0
tuned,5,1,13.72,0.0,0.0,0.0
tuned,6,1,13.537,0.0,0.0,0.0
tuned,7,1,13.167,0.0,0.0,0.0
tuned,8,1,12.407,0.0,0.0,0.0
tuned,16,1,11.185,0.0,0.0,0.0
